Transaction Date: 2022-10-25 13:28:14.110849, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:28:40.847424, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-25 13:29:35.631263, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:29:55.071137, Barcode: 789, Total: $1.99
Transaction Date: 2022-10-25 13:32:18.802795, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:33:01.506343, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-25 13:33:14.452039, Barcode: 789, Total: $1.99
Transaction Date: 2022-10-25 13:33:58.163833, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:39:52.283717, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:40:04.459376, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-25 13:40:21.755718, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:40:33.804065, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-25 13:41:34.052565, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:46:25.590792, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-25 13:50:22.981419, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-26 17:20:53.175822, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-26 17:21:15.591496, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-26 17:35:20.872718, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-26 17:36:26.681358, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-26 17:37:09.664713, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-26 17:37:26.480844, Barcode: 789, Total: $1.99
Transaction Date: 2022-10-26 17:43:56.217577, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-26 17:44:13.458354, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-26 17:44:38.257826, Barcode: 789, Total: $1.99
Transaction Date: 2022-10-26 18:31:33.931041, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-26 18:32:00.626809, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-27 13:08:23.126082, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-27 13:28:40.543429, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-27 13:28:53.759758, Barcode: 456, Total: $2.5
Transaction Date: 2022-10-27 19:13:35.132105, Barcode: 123, Total: $3.5
Transaction Date: 2022-10-27 19:14:00.748548, Barcode: 789, Total: $7.99
Transaction Date: 2022-10-27 19:14:21.739890, Barcode: 123, Total: $3.5
Transaction Date: 2022-12-05 15:48:31.401117, Barcode: 123, Total: $3.5
Transaction Date: 2022-12-05 18:06:50.583975, Barcode: 123, Total: $3.5
Transaction Date: 2022-12-06 19:10:56.776600, Barcode: 258, Total: $0.99
Transaction Date: 2022-12-06 19:32:58.544607, Barcode: 258, Total: $0.99
Transaction Date: 2022-12-07 11:44:55.722347, Barcode: 123, Total: $3.5
Transaction Date: 2022-12-07 11:51:57.882469, Barcode: 123, Total: $3.5
